"PEN","PCT","Count","Total","95% CI",
        1 , 52 ,   13 ,   25 ,033-70,
        2 , 52 ,   13 ,   25 ,033-70,
        5 , 50 ,   10 ,   20 ,030-70,
        6 , 44 ,    7 ,   16 ,   -  ,
        7 , 64 ,    9 ,   14 ,   -  ,
        8 , 56 ,    9 ,   16 ,   -  ,
Total     , 53 ,   61 ,  116 ,044-61,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
02/28/25,     72 ,   35  , 49 ,     68 ,   8 , 12 ,     2,,,,
03/21/25,     69 ,   38  , 55 ,*    62 ,   5 ,  8 ,     2,,,,
04/11/25,     65 ,   37  , 57 ,     63 ,  14 , 22 ,     3,,,,
05/02/25,     52 ,   32  , 62 ,*    44 ,   5 , 11 ,     2,,,,
05/23/25,     45 ,   26  , 58 ,*    39 ,   2 ,  5 ,     1,,,,
06/13/25,     47 ,   27  , 57 ,     47 ,   5 , 11 ,     1,,,,
07/04/25,     58 ,   27  , 47 ,     57 ,   9 , 16 ,     3,,,,
07/25/25,     65 ,   36  , 55 ,     63 ,   6 , 10 ,     3,,,,
08/15/25,     71 ,   38  , 54 ,     71 ,  10 , 14 ,    10,,,,
09/05/25,     83 ,   41  , 49 ,     82 ,   6 ,  7 ,     6,,,,
09/26/25,    117 ,   68  , 58 ,    114 ,  17 , 15 ,    14,,,,
10/17/25,    169 ,   70  , 41 ,    168 ,   3 ,  2 ,     2,,,,
11/07/25,    260 ,  140  , 54 ,    259 ,  11 ,  4 ,     8,,,,
   Total ,   1448 ,  754  , 52 ,   1378 , 130 ,  9 ,    68,,,,
"Technician","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Carlos               ,033-58 ,   45 ,   26 ,   32 ,    1 ,    0 ,   59 ,  40 , 2.2,
Ivan                 ,029-53 ,   40 ,   23 ,   34 ,    0 ,    0 ,   57 ,  39 , 2.5,
Rosendo              ,026-59 ,   41 ,   12 ,   17 ,    2 ,    0 ,   31 ,  21 , 2.4,
OTHERS               ,   -   ,    0 ,    0 ,    1 ,    0 ,    0 ,    1 ,   1 ,    ,
TOTALS               ,034-50 ,   42 ,   61 ,   84 ,    3 ,    0 ,  148 , 100 , 2.4,
"Breeding Code","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Natural              ,033-62 ,   48 ,   20 ,   22 ,    3 ,    0 ,   45 ,  30 , 2.1,
Ovsynch              ,031-49 ,   40 ,   41 ,   62 ,    0 ,    0 ,  103 ,  70 , 2.5,
TOTALS               ,034-50 ,   42 ,   61 ,   84 ,    3 ,    0 ,  148 , 100 , 2.4,
"Bred Number","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
                   1 ,025-50 ,   36 ,   20 ,   35 ,    0 ,    0 ,   55 ,  37 , 2.8,
                   2 ,037-67 ,   52 ,   21 ,   19 ,    1 ,    0 ,   41 ,  28 , 1.9,
                   3 ,019-52 ,   33 ,    9 ,   18 ,    0 ,    0 ,   27 ,  18 , 3.0,
                   4 ,   -   ,   40 ,    6 ,    9 ,    1 ,    0 ,   16 ,  11 , 2.5,
                   5 ,   -   ,   67 ,    2 ,    1 ,    0 ,    0 ,    3 ,   2 , 1.5,
                   6 ,   -   ,   50 ,    1 ,    1 ,    1 ,    0 ,    3 ,   2 , 2.0,
                   7 ,   -   ,   67 ,    2 ,    1 ,    0 ,    0 ,    3 ,   2 , 1.5,
              TOTALS ,034-50 ,   42 ,   61 ,   84 ,    3 ,    0 ,  148 , 100 , 2.4,
"PEN","PCT","Count","Total","95% CI",
       13 , 33 ,    4 ,   12 ,   -  ,
       14 , 62 ,   20 ,   32 ,045-77,
       15 , 69 ,   11 ,   16 ,   -  ,
